station,valid,metar
RPLL,2025-01-07 13:00,RPLL 071300Z 10003KT 9999 SCT025 BKN100 27/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-07 14:00,RPLL 071400Z VRB01KT 9999 FEW025 BKN100 27/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-07 15:00,RPLL 071500Z VRB01KT 9999 FEW025 BKN150 27/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-07 16:00,RPLL 071600Z VRB01KT 9999 FEW025 BKN100 27/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-07 17:00,RPLL 071700Z 00000KT 9999 SCT025 BKN100 26/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 18:00,RPLL 071800Z 00000KT 9999 SCT025 BKN100 26/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 19:00,RPLL 071900Z VRB01KT 9999 FEW025 BKN100 26/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-07 20:00,RPLL 072000Z 00000KT 9999 SCT025 BKN100 26/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-07 21:00,RPLL 072100Z 00000KT 9999 SCT025 OVC100 25/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 22:00,RPLL 072200Z VRB02KT 9999 BKN025 26/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 23:00,RPLL 072300Z VRB01KT 9999 SCT025 BKN100 26/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 00:00,RPLL 080000Z VRB02KT 9999 SCT025 BKN100 27/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 01:00,RPLL 080100Z 11006KT 060V160 9999 FEW025 SCT100 28/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 02:00,RPLL 080200Z 11007KT 070V150 9999 FEW025 BKN100 29/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 03:00,RPLL 080300Z 11009KT 070V160 9999 FEW025 BKN100 30/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 04:00,RPLL 080400Z 11010KT 070V160 9999 FEW025 BKN100 30/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 05:00,RPLL 080500Z 10010KT 070V140 9999 FEW025 BKN100 31/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-08 06:00,RPLL 080600Z 11010KT 080V160 9999 FEW025 SCT100 30/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-08 07:00,RPLL 080700Z 11008KT 060V150 9999 SCT025 BKN100 30/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-08 08:00,RPLL 080800Z 11008KT 070V150 9999 SCT025 BKN150 29/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-08 09:00,RPLL 080900Z 12007KT 070V190 9999 FEW025 29/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-08 10:00,RPLL 081000Z 11008KT 070V150 9999 FEW025 28/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 11:00,RPLL 081100Z 11006KT 060V150 9999 FEW025 27/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 12:00,RPLL 081200Z 10006KT 060V150 9999 FEW025 27/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 13:00,RPLL 081300Z 11006KT 080V150 9999 SCT025 BKN100 27/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 14:00,RPLL 081400Z 11006KT 080V150 9999 FEW025 27/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 15:00,RPLL 081500Z 08005KT 9999 FEW025 27/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 16:00,RPLL 081600Z 07006KT 9999 FEW025 26/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-08 17:00,RPLL 081700Z 09003KT 070V140 9999 SCT025 BKN150 27/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-08 18:00,RPLL 081800Z VRB02KT 9999 FEW025 26/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-08 19:00,RPLL 081900Z VRB02KT 9999 FEW025 SCT130 26/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-08 20:00,RPLL 082000Z VRB02KT 9999 FEW025 BKN100 26/22 Q1011 NOSIG RMK A2985
